City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ramygala,55.5167,24.3,50.0,87,75,5.75,LT,1619757685
ushuaia,-54.8,-68.3,39.2,75,90,5.75,AR,1619757685
medicine hat,50.0501,-110.6683,59.0,41,75,9.22,CA,1619757605
ocampo,21.65,-101.5,63.32,40,29,7.63,MX,1619757686
avera,33.194,-82.5271,71.6,68,1,9.22,US,1619757609
tiksi,71.6872,128.8694,32.76,84,83,4.21,RU,1619757686
chokurdakh,70.6333,147.9167,19.69,87,10,5.82,RU,1619757686
qaanaaq,77.484,-69.3632,25.02,60,100,10.33,GL,1619757687
luderitz,-26.6481,15.1594,54.3,76,0,18.54,NA,1619757687
roma,43.2128,-75.4557,48.2,93,90,14.97,US,1619757688
saint-pierre,-21.3393,55.4781,77.0,78,1,9.22,RE,1619757688
georgetown,5.4112,100.3354,89.6,70,20,4.61,MY,1619757688
mataura,-46.1927,168.8643,53.01,72,24,10.0,NZ,1619757689
yellowknife,62.456,-114.3525,30.2,59,75,11.5,CA,1619757689
klaksvik,62.2266,-6.589,35.6,75,90,1.14,FO,1619757689
northam,51.0333,-4.2167,36.0,86,89,1.01,GB,1619757690
longyearbyen,78.2186,15.6401,21.2,53,40,9.22,SJ,1619757815
saint-philippe,-21.3585,55.7679,77.0,78,45,9.22,RE,1619757690
fort abbas,29.1925,72.8536,100.11,15,89,11.05,PK,1619757690
portland,45.5234,-122.6762,62.6,51,75,8.05,US,1619757263
port alfred,-33.5906,26.891,63.01,65,96,14.18,ZA,1619757691
chanal,16.7167,-92.4,82.4,51,40,10.36,MX,1619757691
general pico,-35.6566,-63.7568,55.49,68,0,11.39,AR,1619757673
kargasok,59.0556,80.8572,42.22,76,73,17.94,RU,1619757692
praia da vitoria,38.7333,-27.0667,54.0,73,100,1.01,PT,1619757795
grindavik,63.8424,-22.4338,39.2,87,75,4.61,IS,1619757692
banda aceh,5.5577,95.3222,84.6,68,100,4.05,ID,1619757842
omsukchan,62.5333,155.8,30.45,87,94,5.3,RU,1619757693
jaisalmer,26.9147,70.9181,94.28,24,0,8.95,IN,1619757693
guerrero negro,27.9769,-114.0611,62.92,76,0,14.63,MX,1619757842
nanortalik,60.1432,-45.2371,36.19,84,10,7.38,GL,1619757693
salalah,17.0151,54.0924,84.2,79,75,8.05,OM,1619757694
golden,39.7555,-105.2211,59.0,36,20,5.17,US,1619757694
bac lieu,9.285,105.7244,89.42,54,49,15.08,VN,1619757694
fort portal,0.6617,30.2748,63.54,75,99,1.5,UG,1619757695
albany,42.6001,-73.9662,55.99,89,100,4.56,US,1619757478
bredasdorp,-34.5322,20.0403,46.4,93,5,3.44,ZA,1619757695
mar del plata,-38.0023,-57.5575,60.01,88,0,6.91,AR,1619757696
kirakira,-10.4544,161.9205,82.67,75,28,9.91,SB,1619757696
butaritari,3.0707,172.7902,83.77,72,99,10.09,KI,1619757696
atuona,-9.8,-139.0333,79.34,70,8,4.52,PF,1619757697
avarua,-21.2078,-159.775,80.6,83,20,6.91,CK,1619757697
hermanus,-34.4187,19.2345,51.01,91,54,1.01,ZA,1619757697
rocha,-34.4833,-54.3333,52.66,88,0,5.39,UY,1619757845
karacabey,40.2152,28.4038,48.2,100,0,2.3,TR,1619757698
cape town,-33.9258,18.4232,57.99,77,20,12.66,ZA,1619757496
flinders,-34.5833,150.8552,72.0,72,9,3.0,AU,1619757804
arraial do cabo,-22.9661,-42.0278,72.25,67,27,8.46,BR,1619757698
ahipara,-35.1667,173.1667,63.25,71,20,8.12,NZ,1619757699
maxixe,-23.8597,35.3472,66.2,94,20,3.98,MZ,1619757499
rikitea,-23.1203,-134.9692,77.34,71,91,11.95,PF,1619757699
sur,22.5667,59.5289,88.48,46,100,2.95,OM,1619757699
morgan city,29.6994,-91.2068,75.2,100,1,4.61,US,1619757700
dikson,73.5069,80.5464,13.78,86,40,11.39,RU,1619757700
vanavara,60.34,102.2797,43.65,49,65,9.64,RU,1619757700
punta arenas,-53.15,-70.9167,42.8,93,90,5.75,CL,1619757701
hilo,19.7297,-155.09,80.6,61,90,6.91,US,1619757402
carnarvon,-24.8667,113.6333,80.6,50,100,17.27,AU,1619757701
nikolskoye,59.7035,30.7861,41.0,69,0,2.24,RU,1619757701
castro,-24.7911,-50.0119,48.58,99,23,5.75,BR,1619757702
tambo,-14.8,-73.9167,34.05,80,9,3.22,PE,1619757702
busselton,-33.65,115.3333,62.01,75,45,3.0,AU,1619757703
bluff,-46.6,168.3333,53.01,72,33,10.0,NZ,1619757703
norman wells,65.282,-126.8329,44.6,29,40,4.61,CA,1619757703
khatanga,71.9667,102.5,33.13,100,100,4.14,RU,1619757704
kaset sombun,16.2805,101.9542,81.55,71,99,2.06,TH,1619757704
clearlake,38.9582,-122.6264,63.0,49,98,4.36,US,1619757704
mount isa,-20.7333,139.5,86.0,26,75,14.97,AU,1619757705
lorengau,-2.0226,147.2712,83.62,74,98,4.0,PG,1619757705
spornoye,50.8448,37.2913,48.2,53,0,11.18,RU,1619757705
khowst,33.3833,69.8833,77.27,30,78,3.38,AF,1619757706
atasu,48.6814,71.6433,56.28,58,100,15.21,KZ,1619757706
hobart,-42.8794,147.3294,68.0,55,20,3.44,AU,1619757706
hithadhoo,-0.6,73.0833,84.11,70,52,5.97,MV,1619757707
bjornevatn,69.6672,29.9847,28.4,80,75,23.02,NO,1619757707
elbasan,41.1125,20.0822,51.8,93,0,4.61,AL,1619757707
vaini,-21.2,-175.2,75.2,94,90,12.66,TO,1619757708
belmonte,-15.8631,-38.8828,77.0,78,75,9.22,BR,1619757708
taoudenni,22.6783,-3.9836,84.16,29,75,19.35,ML,1619757708
port elizabeth,-33.918,25.5701,55.4,94,0,10.36,ZA,1619757709
